,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/8/7,49.000103,1793.400024,185.1499939,1173.98999,304.2900085,49.75999832,1793.400024,185.1499939,1173.98999,304.2900085,49.88999939,1798.930054,186.3699951,1178.444946,305,48.45500183,1757,181.2200012,1149.624023,296.8099976,48.85250092,1773.98999,183.6000061,1156,302.5599976,133457600,4526900,15833200,1444300,9322400
2019/8/8,50.08084488,1832.890015,190.1600037,1204.800049,315.8999939,50.85749817,1832.890015,190.1600037,1204.800049,315.8999939,50.88249969,1834.26001,190.3399963,1205.01001,316.3599854,49.84749985,1798.109985,184.0500031,1173.02002,306.6300049,50.04999924,1806,186.6199951,1182.829956,311.0299988,108038000,3701200,14828900,1468000,5905900
2019/8/9,49.66815948,1807.579956,187.8500061,1188.01001,308.9299927,50.24750137,1807.579956,187.8500061,1188.01001,308.9299927,50.68999863,1831.089966,190.9799957,1203.880005,316.6400146,49.82249832,1802.219971,187.1199951,1183.603027,305.6799927,50.32500076,1828.949951,190,1197.98999,313.7399902,98478800,2879800,11058800,1065700,5349100
2019/8/12,49.5421257,1784.920044,185.3699951,1174.709961,310.8299866,50.11999893,1784.920044,185.3699951,1174.709961,310.8299866,50.51250076,1800.97998,187.5899963,1184.959961,312.8900146,49.78749847,1777,184.4600067,1167.671997,303.2399902,49.90499878,1795.98999,186.8500061,1179.209961,305.4599915,89927600,2905500,10930900,1003000,6531700
2019/8/13,51.64015579,1824.339966,188.4499969,1197.27002,312.2799988,52.24250031,1824.339966,188.4499969,1197.27002,312.2799988,53.03499985,1831.73999,191.3800049,1204.780029,316.4299927,50.11999893,1780,185.3699951,1171.459961,308.1600037,50.25500107,1783,185.5200043,1171.459961,309.769989,188874000,3994000,13577000,1294400,5289400
2019/8/14,50.10308838,1762.959961,179.7100067,1164.290039,299.1099854,50.6875,1762.959961,179.7100067,1164.290039,299.1099854,51.61000061,1795.650024,185.9900055,1182.300049,308.4100037,50.64749908,1757.219971,179.3099976,1160.540039,298.0100098,50.79000092,1793.01001,185.8000031,1176.310059,308.0100098,146189600,4893600,18903700,1578700,7355800
2019/8/15,49.85350037,1776.119995,182.5899963,1167.26001,295.7600098,50.43500137,1776.119995,182.5899963,1167.26001,295.7600098,51.28499985,1788,183.1999969,1175.839966,300.6300049,49.91749954,1761.959961,180.0299988,1162.109985,288,50.86500168,1781.98999,180.9499969,1163.5,299.5,108909600,3759100,12925900,1218700,9629200
2019/8/16,51.02977753,1792.569946,183.6999969,1177.599976,302.7999878,51.625,1792.569946,183.6999969,1177.599976,302.7999878,51.79000092,1802.910034,185.1000061,1182.719971,303.5499878,50.95999908,1784.550049,182.3600006,1171.810059,296.269989,51.06999969,1792.890015,183.75,1179.550049,298.8599854,110481600,3018000,12654600,1313300,6905800
2019/8/19,51.9811821,1816.119995,186.1699982,1198.449951,309.3800049,52.58750153,1816.119995,186.1699982,1198.449951,309.3800049,53.18249893,1826,187.5,1206.98999,311.75,52.50749969,1812.609985,184.8500061,1190.089966,304.75,52.65499878,1818.079956,186.0099945,1190.089966,306.25,97654400,2816300,9691200,1231600,4942200
2019/8/20,51.98365402,1801.380005,183.8099976,1182.689941,298.9899902,52.59000015,1801.380005,183.8099976,1182.689941,298.9899902,53.33750153,1816.819946,186,1196.060059,305,52.58000183,1799.880005,182.3899994,1182.109985,297.6799927,52.72000122,1814.5,185.4499969,1195.25,304.5700073,107537200,1929500,10083400,915500,7349900
