Date,AMD,CSCO,INTC,INTU,NVDA
2017/12/8,9.94,33.145378,38.941601,150.516037,47.425728
2017/12/11,10.16,33.453831,39.22007,150.952301,48.210838
2017/12/12,9.9,33.409771,38.923637,151.117218,47.264748
2017/12/13,10.11,33.621269,38.93261,151.728058,46.110622
2017/12/14,10.13,33.400948,38.860748,151.446854,46.182438
2017/12/15,10.29,33.656517,40.028549,154.801788,47.443069
2017/12/18,10.98,33.912098,41.555668,156.236877,49.013268
2017/12/19,10.95,33.753468,42.256348,155.024811,48.569942
2017/12/20,10.98,34.141235,42.723473,154.510895,48.740837
2017/12/21,10.89,33.956169,42.004822,153.80307,48.515457
2017/12/22,10.54,33.973782,41.950928,153.686722,48.361908
2017/12/26,10.46,33.912098,41.39397,154.103653,48.899353
2017/12/27,10.53,33.982597,41.420929,153.909729,48.832478
2017/12/28,10.55,34.009045,41.519737,153.764297,48.889442
2017/12/29,10.28,33.753468,41.465839,152.988571,47.923538
2018/1/2,10.98,34.246983,42.08567,153.90007,49.372402
2018/1/3,11.55,34.520191,40.65736,154.326675,52.621773
2018/1/4,12.12,34.617851,39.91177,157.090118,52.89917
2018/1/5,11.88,35.097298,40.190235,159.126358,53.347443
2018/1/8,12.28,35.461323,40.190235,159.223328,54.982037
2018/1/9,11.82,35.239361,39.184139,160.224442,54.967186
2018/1/10,11.96,35.434692,38.178036,158.922012,55.398125
2018/1/11,12.14,35.603382,38.995491,158.426331,55.497192
2018/1/12,12.02,36.287041,38.842789,159.893951,55.224758
2018/1/16,11.91,35.994049,38.752956,157.736252,54.513954
2018/1/17,12.18,36.580032,39.875835,159.68013,55.655693
2018/1/18,12.47,36.668823,39.956688,159.787064,55.586357
2018/1/19,12.59,36.659954,40.262115,163.03334,56.99062
2018/1/22,12.65,36.988449,41.097538,163.937225,57.877274
2018/1/23,12.94,37.379116,41.376007,163.733139,59.17009
2018/1/24,12.71,37.441261,40.881935,162.848663,58.399841
2018/1/25,12.41,37.201542,40.693295,163.111115,58.536068
2018/1/26,12.95,37.78754,44.987198,165.657547,60.264774
2018/1/29,13.32,38.04501,44.897366,164.462112,61.136566
2018/1/30,12.87,37.512302,43.828392,163.771988,60.113708
2018/1/31,13.74,36.881916,43.244488,163.188828,60.876518
2018/2/1,13.25,37.023968,42.804314,161.001938,59.563885
2018/2/2,12.45,36.340313,41.456852,158.834534,57.835163
2018/2/5,11.57,34.4314,39.992619,153.226425,52.926407
2018/2/6,11.65,35.665535,40.616657,156.356064,55.868687
2018/2/7,11.6,35.816471,40.878925,156.764313,56.666176
2018/2/8,11.22,34.422523,38.663143,148.463959,53.872501
2018/2/9,11.31,35.097298,39.748428,152.653,57.478531
2018/2/12,11.68,36.047314,40.544296,154.907898,56.475475
2018/2/13,11.78,36.60667,40.209675,154.888458,57.614746
2018/2/14,12.2,37.370228,41.041721,159.301056,59.791729
2018/2/15,12.19,39.137089,41.530098,164.559265,61.049889
2018/2/16,11.82,39.359055,41.204514,166.872528,60.39109
2018/2/20,12.02,39.119331,41.891869,168.699738,61.688866
2018/2/21,11.72,38.453434,41.548183,168.456757,59.814018
2018/2/22,11.84,38.124931,41.42157,167.271011,60.009796
2018/2/23,12.07,39.066051,43.167068,166.959946,60.946564
2018/2/26,12.42,40.27356,44.415142,167.824997,61.107655
2018/2/27,12.53,39.989441,45.138653,165.570099,60.978779
2018/2/28,12.11,39.758587,44.57793,162.177979,59.972633
2018/3/1,11.9,38.888481,43.266552,159.728729,57.546463
2018/3/2,11.81,39.119331,44.297565,164.102463,58.61953
2018/3/5,11.91,39.527748,44.99395,165.404861,58.398968
2018/3/6,11.76,39.32354,45.862179,164.705048,60.01228
2018/3/7,12.24,39.243629,46.413868,165.871399,59.932983
2018/3/8,11.97,39.367931,45.889317,166.658646,59.769417
2018/3/9,11.7,40.282433,47.200695,172.198746,60.797871
2018/3/12,11.52,40.442253,46.594746,172.354279,61.895714
2018/3/13,11.64,40.095974,46.829891,172.694412,61.387684
2018/3/14,11.36,40.20253,46.902241,172.315353,61.642944
2018/3/15,11.46,40.246914,46.015926,172.937408,61.79163
2018/3/16,11.47,39.962803,46.278194,173.578857,62.074146
2018/3/19,11.43,39.305794,45.970703,170.808868,59.724804
2018/3/20,11.11,39.394562,46.62188,173.151215,61.851112
2018/3/21,11.26,39.341305,46.630924,171.703018,61.598331
2018/3/22,10.91,38.240345,45.970703,169.924377,59.935455
2018/3/23,10.63,37.663227,44.641232,165.103546,57.73481
2018/3/26,10.44,39.119331,47.462963,169.632828,60.587223
2018/3/27,10,37.894081,46.296291,168.388733,55.888542
2018/3/28,9.81,36.988449,44.858288,166.13385,54.855133
2018/3/29,10.05,38.080521,47.101215,168.485916,57.392818
2018/4/2,9.53,36.411339,44.243301,165.113312,54.780785
2018/4/3,9.55,36.739849,44.99395,165.686737,55.846413
2018/4/4,9.77,36.8741,45.211006,168.194336,56.066975
2018/4/5,10.02,37.429005,45.563732,167.00856,54.862564
2018/4/6,9.61,36.453457,44.125736,162.974991,53.095604
2018/4/9,9.53,36.847244,44.813068,165.020844,53.38308
2018/4/10,9.98,38.046547,46.368645,166.891296,56.480839
2018/4/11,9.82,37.974964,46.214897,167.164078,56.066975
2018/4/12,10.08,38.789402,47.680027,169.151459,58.13876
2018/4/13,9.93,38.485104,46.902241,167.553772,57.37051
2018/4/16,10.09,38.753605,47.390617,170.778397,57.368038
2018/4/17,10.52,39.908165,48.421635,176.33139,58.867352
2018/4/18,10.36,39.943962,48.48494,176.516464,58.577396
2018/4/19,10.11,39.881313,47.227821,174.782364,56.760868
2018/4/20,9.99,39.460659,46.603786,173.535431,56.679089
2018/4/23,10.04,39.603859,46.214897,175.649445,55.482117
2018/4/24,10.09,39.147408,46.531437,173.964081,54.817959
2018/4/25,9.71,39.120556,46.468132,171.820816,53.692856
2018/4/26,11.04,39.568062,47.978477,180.403534,55.814201
2018/4/27,11.11,40.015556,47.689072,181.777191,56.089283
2018/4/30,10.88,39.63966,46.685184,180.023605,55.734894
2018/5/1,11.13,40.122963,48.231716,182.410431,56.290016
2018/5/2,10.97,39.254807,47.309223,181.134186,56.08432
2018/5/3,10.93,39.773907,47.282093,181.572601,57.739769
2018/5/4,11.28,40.543617,48.009773,184.563416,59.244045
2018/5/7,11.59,40.928463,48.510082,184.670547,61.628071
